id,name,seo_name,has_detailed_info,wines_count
255,Xinomavro,xinomavro,false,1102
256,Yellow Muscat,yellow-muscat,false,336
257,Zweigelt,zweigelt,false,13834
259,Assyrtiko,assyrtiko,false,1336
260,Malvasia Nera,malvasia-nera,false,1643
261,Malvasia Nera di Brindisi,malvasia-nera-di-brindisi,false,82
262,Airen,airen,false,1919
263,Ancellotta,ancellotta,false,881
264,Bombino Bianco,bombino-bianco,false,432
265,Canaiolo Blanco,canaiolo-blanco,false,690
266,Cayuga White,cayaga-white,false,550
267,Cesanese di Affile,cesanese-di-affile,false,124
268,Ciliegiolo,ciliegiolo,false,1144
270,Corvina Grossa,corvina-grossa,false,107
271,Corvina Veronese,corvina-veronese,false,1913
272,Couderc Noir,couderc-noir,false,12
273,Donzelinho Branco,donzelinho-branco,false,155
274,Foglia Tonda,foglia-tonda,false,87
275,Groppello,groppello,false,631
276,Horozkarasi,horozkarasi,false,10
278,Marcelan,marcelan,false,507
279,Marechal Foch,marechal-foch,false,870
280,Moscato Giallo,moscato-giallo,false,1088
281,Negrara Trentino,negrara-trentino,false,179
282,Nerello Mascalese,nerello-mascalese,false,2236
283,Nosiola,nosiola,false,335
284,Petit Manseng,petit-manseng,false,2155
285,Regent,regent,false,2395
286,Sagrantino,sagrantino,false,1640
287,Schiava Gentile,schiava-gentile,false,82
288,Schiava Grigia,schiava-grigia,false,37
289,Tintilia,tintilia,false,258
290,Vilana,vilana,false,189
291,Brachetto,brachetto,false,841
292,Grignolino,grignolino,false,1248
293,Roupeiro,roupeiro,false,2317
294,Malvasia Fina,malvasia-fina,false,2679
295,Melon,melon,false,1132
296,Grauvernatsch,grauvernatsch,false,77
297,St. Laurent,st-laurent,false,2877
298,Scheurebe,scheurebe,false,3541
299,Spätburgunder,spatburgunder,false,23945
300,Sauvignon Gris,sauvignon-gris,false,2009
301,Rossola,rossola,false,85
302,Kerner,kerner,false,3670
303,Tinta Madeira,tinta-madeira,false,237
304,Pugnitello,pugnitello,false,127
305,Geishenheim,geishenheim,false,48
306,Albalonga,albalonga,false,86
307,Albillo Mayor,albillo-mayor,false,279
308,Bual,bual,false,200
309,Carricante,carricante,false,622
310,Drupeggio,drupeggio,false,95
311,Durif,durif,false,1011
312,Erbaluce,erbaluce,false,473
313,Favorita,favorita,false,456
314,Friulano,friulano,false,2324
315,Gelber Muskateller,gelber-muskateller,false,2297
316,Mauzac Blanc,mauzac,false,1008
317,Pelaverga piccolo,pelaverga-piccolo,false,34
318,Picolit,picolit,false,548
319,Pinenc,pinenc,false,202
320,Torbato,torbato,false,94
321,Vernatsch,vernatsch,false,592
322,Babeasa Neagra,babeasca-neagra,false,221
323,Bovaleddu,bovaleddu,false,25
324,Caladoc,caladoc,false,490
325,Fernao Pires,fernao-pires,false,3174
326,Feteasca Neagra,feteasca-neagra,false,2419
327,Feteasca Regala,feteasca-regala,false,809
328,Hárslevelű,harslevelu,false,2039
329,Kékfrankos,kekfrankos,false,2643
330,Lampia,lampia,false,89
331,Manseng,manseng,false,504
332,Michet,michet,false,81
334,Moreto,moreto,false,519
335,Moscatel de Setúbal,moscatel-de-setubal,false,960
336,Moscatel Roxo,moscatel-roxo,false,513
337,Nasco,nasco,false,98
338,Neuburger,neuburger,false,918
339,Nuragus,nuragus,false,142
340,Olaszrizling,olaszrizling,false,1531
341,Rabo de Ovelha,rabo-de-ovelha,false,551
342,Rotgipfler,rotgipfler,false,411
343,Sercial,sercial,false,496
344,Szürkebarát,szrkebarat,false,416
345,Turan,turan,false,95
346,Zierfandler,zierfandler,false,302
347,Fer Servadou,fer-servadou,false,222
348,Moscatel Galego,moscatel-galego,false,961
349,Pelaverga,pelaverga,false,106
350,Petit Courbu,petit-courbu,false,381
